student_id,name,grade,section
STU-001,Adanna Bascombe,10,A
STU-002,Rohan Chandler,10,A
STU-003,Kiana Drakes,10,A
STU-004,Malik Estwick,10,B
STU-005,Shanice Forde,10,B
STU-006,Tarik Greaves,10,B
STU-007,Amara Holder,11,A
STU-008,Jamal Inniss,11,A
STU-009,Nia Jordan,11,A
STU-010,Kofi Lashley,11,B
STU-011,Rhea Marshall,11,B
STU-012,Devon Niles,11,B
STU-013,Zara Oxley,9,A
STU-014,Andre Padmore,9,A
STU-015,Leah Quintyne,9,A
STU-016,Isaiah Rock,9,B
STU-017,Simone Skeete,9,B
STU-018,Tyrell Thorne,9,B
STU-019,Anika Weekes,12,A
STU-020,Damian Yearwood,12,A
